datetime,n. trips,n. collisions,Amt[PrecipHourly1],Temp[Temp],Visby[Visibility]
2014-01-01,420810,399,0.0,-1.5156249999999996,16069.75
2014-01-02,359958,603,0.0,-1.1342105263157891,15365.052631578948
2014-01-03,275470,423,0.6195121951219513,-8.546511627906975,4990.697674418605
2014-01-04,417499,418,0.2269230769230769,-9.474999999999998,16069.75
2014-01-05,388542,320,0.13333333333333333,-0.5380952380952378,12491.428571428569
2014-01-06,395445,518,0.8116279069767441,8.071153846153845,4950.5
2014-01-07,460052,491,0.596551724137931,-9.234374999999998,16069.75
2014-01-08,473611,616,0.0,-10.021875,16069.75
2014-01-09,479714,561,0.0,-3.225,16069.75
2014-01-10,507732,667,0.19189189189189187,0.05581395348837218,10886.790697674418
2014-01-11,511172,465,1.0035087719298246,8.091666666666669,2624.683333333333
2014-01-12,450487,388,1.1176470588235294,8.702439024390246,13384.09756097561
2014-01-13,419698,568,0.0,4.3625000000000025,15969.1875
2014-01-14,454108,558,1.1371428571428568,7.7390243902439035,11392.804878048779
2014-01-15,466443,583,1.109375,3.8568181818181833,4939.772727272727
2014-01-16,482037,521,0.0,4.577777777777778,9069.62962962963
2014-01-17,490852,589,0.0,2.773529411764706,16071.117647058823
2014-01-18,507033,448,0.4514285714285714,3.635714285714286,13513.880952380952
2014-01-19,462238,380,0.4518518518518518,-0.8531250000000001,16069.75
2014-01-20,378450,360,0.0,4.115625,16069.75
2014-01-21,255518,1161,0.2432432432432433,-3.5047619047619056,7872.547619047618
2014-01-22,377773,498,0.4216216216216217,-10.631707317073168,10168.219512195124
2014-01-23,462469,612,0.012,-10.215625,16069.75
2014-01-24,509509,705,0.0,-8.934375000000003,16069.75
2014-01-25,530551,475,0.06451612903225806,-4.278947368421053,12200.421052631576
2014-01-26,457026,465,0.06451612903225806,-5.23142857142857,15061.542857142857
2014-01-27,418863,511,0.0,1.9250000000000005,16069.75
2014-01-28,468729,504,0.0,-6.696875,16069.75
2014-01-29,477984,649,0.1258064516129032,-7.354285714285715,12724.085714285715
2014-01-30,495971,657,0.052000000000000005,-6.015625000000003,16069.75
2014-01-31,526748,560,0.0,-0.7735294117647058,16071.117647058823
2014-02-01,533783,507,0.0,2.44375,16069.75
2014-02-02,464225,417,0.0,3.274418604651163,9031.697674418603
2014-02-03,382517,960,1.7825,2.6424999999999974,7604.65
2014-02-04,454444,613,1.7258064516129032,-1.5833333333333333,15927.388888888889
2014-02-05,413853,468,2.31875,0.20909090909090908,8253.418181818182
2014-02-06,478790,569,1.496551724137931,-1.5324324324324328,15100.81081081081
2014-02-07,512218,675,0.0,-2.2218749999999985,16069.75
